"","11","12","22","13","23","33","14","24","34","44","15","25","35","45","55"
"2",758,1064,182,843,513,67,699,443,326,25,665,384,316,265,0
"3",731,1006,153,917,483,74,814,404,337,28,629,353,292,279,0
"4",772,1081,214,843,548,84,726,459,352,27,615,415,290,268,0
"5",717,1044,157,805,529,54,756,461,349,28,662,412,313,289,0
"6",755,1002,154,926,509,67,722,385,364,31,731,373,363,289,0
"7",798,1036,175,876,489,74,773,405,333,22,675,369,311,257,0
"8",732,1045,166,815,486,81,771,406,347,24,627,367,315,261,0
"9",769,1041,157,797,441,57,770,421,315,27,721,407,273,253,0
"10",739,1067,178,854,541,92,651,411,346,20,647,390,331,249,0
"11",740,1018,145,866,449,58,778,433,346,26,709,401,317,307,0
